csf	white_matter	global_signal	std_dvars	dvars	framewise_displacement	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	cosine00	cosine01	cosine02	cosine03	cosine04	cosine05	cosine06	cosine07	cosine08	cosine09	cosine10	cosine11	non_steady_state_outlier00	non_steady_state_outlier01	trans_x	trans_y	trans_z	rot_x	rot_y	rot_z
1086.904156587897	926.6795585507843	909.7077822460407	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	-9.67259e-06	-0.0455086	1.16714e-05	0.000301666	-0.0	0.00025
1070.3048177880278	928.1889739282593	904.8770754294467	1.210186	28.734598	0.13502180429191002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	3.0191e-10	0.0251425	-0.00287581	-0.000677805	-0.0	0.0
1060.320157943076	926.0728221902907	901.3723377446944	1.1135020000000002	26.438936	0.16429255337190998	0.025985785	0.0541100741	-0.047144917	0.0235575734	0.05058545230000001	-0.08396470210000001	0.0597170785	-0.06160719	0.016089440400000002	-0.0363052932	0.0283028379	-0.0038637871	0.069170958	0.0691694928	0.0691670507	0.069163632	0.0691592365	0.0691538644	0.06914751570000001	0.0691401905	0.069131889	0.0691226112	0.06911235730000001	0.06910112730000001	0.0	0.0	-3.96307e-06	-0.07565579999999998	-0.0115106	0.000301383	-0.000117922	0.0
1057.4770059776843	925.8971583146944	899.036796957901	1.101909	26.163683	0.14146390806999998	0.0448293769	0.0586051	0.053593286799999994	0.0185710901	0.10351426820000001	0.051454080199999995	0.0609415538	-0.0350022735	0.0164587889	0.0693805626	0.0720717121	0.0057400324	0.0691670507	0.0691538644	0.069131889	0.06910112730000001	0.0690615834	0.0690132621	0.0689561696	0.0688903132	0.0688157013	0.0687323433	0.06864024980000001	0.0685394325	0.0	0.0	0.0	0.0146011	0.0201379	2.82141e-05	-0.0	0.0
1048.7391506401132	923.4022150071852	900.36912834126	1.189447	28.242182	0.105214920902	-0.009683140699999999	-0.0995924606	0.014272961499999999	-0.0020920962	-0.0190606333	0.08034309	-0.0468551803	0.09009216369999999	-0.0328248376	-0.0048596678	-0.0045073354	-0.0035171297999999998	0.0691592365	0.0691226112	0.0690615834	0.0689761746	0.0688664149	0.0687323433	0.0685740068	0.0683914616	0.06818477190000001	0.0679540108	0.06769925980000001	0.0674206087	0.0	0.0	4.75902e-07	-0.0654751	0.0223033	0.000295875	0.000191796	0.0
1056.786485951102	926.60977986657	902.7356150140423	1.097246	26.05295	0.17272217909800003	-0.0129306267	-0.0332454837	-0.0342652972	0.032957158199999996	-0.0816344028	-0.0257242842	-0.046283425	-0.0162251773	-0.053713537699999994	-0.0383774122	-0.0853779207	-0.018058718	0.06914751570000001	0.0690757402	0.0689561696	0.06878888650000001	0.0685740068	0.06831167910000001	0.068002085	0.06764543860000001	0.0672419867	0.0667920084	0.0662958152	0.0657537504	0.0	0.0	0.00349169	0.039496	0.0224806	-0.000572541	-0.000129631	9.18083e-05
1057.0577754917579	926.7086888233093	900.4924730240729	1.082146	25.694416	0.221604065	-0.005835929300000001	0.0677230547	-0.047606286	0.0317360607	-0.018309811999999998	-0.1084213626	0.0170697554	-0.0664212628	0.0244653412	-0.0390318822	-0.0131561203	-0.0473541934	0.069131889	0.0690132621	0.0688157013	0.0685394325	0.06818477190000001	0.067752125	0.0672419867	0.0666549403	0.0659916575	0.0652528967	0.064439503	0.0635524067	0.0	0.0	0.00833798	-0.0442291	-0.00617321	0.00115167	-0.000401189	0.0
1056.877118431582	926.367915281904	898.4419704917929	1.074889	25.522112	0.2423006949	0.0417284157	0.0539888795	0.0006761874000000001	0.002203053	0.0777427181	0.031348513599999996	0.0690072341	-0.0461165757	0.0090870269	0.0324756365	0.0416382495	0.006028761	0.06911235730000001	0.0689351908	0.06864024980000001	0.068228038	0.06769925980000001	0.0670548185	0.0662958152	0.06542354660000001	0.064439503	0.0633453656	0.0621430036	0.0608344714	0.0	0.0	2.05451e-05	0.0260186	0.0461421	-0.000850367	-0.000401189	0.000226368
1055.9686383421874	924.3970227996953	898.1858493167799	1.049456	24.918242	0.1977105049	0.0196615009	0.027724949900000004	0.1002752654	-0.017465325	-0.026160677099999998	0.0404836283	0.022845845299999997	0.043685006900000004	0.045145614800000004	0.0636488301	0.0208387042	0.039769618900000005	0.0690889216	0.0688415442	0.0684299044	0.0678549844	0.067118156	0.0662211774	0.06516618889999999	0.0639557078	0.0625926223	0.0610801849	0.0594220045	0.057622037699999996	0.0	0.0	0.0192962	-0.0533406	0.0390728	0.000633592	-0.000157085	0.000338432
1053.3533386432705	924.6249185772896	897.3528101744953	1.036171	24.602798	0.20672995	0.036079715	-0.0474829598	0.0748140538	-0.0162576136	0.046170259000000005	-0.0233327306	0.0348521094	0.0635417863	-0.0065159065	0.0565190786	0.011932515	0.0264052771	0.0690615834	0.0687323433	0.06818477190000001	0.0674206087	0.0664422811	0.0652528967	0.0638562337	0.062256728600000005	0.060459462400000004	0.0584701441	0.0562950929	0.0539412179	0.0	0.0	0.018342	0.0294101	0.0708897	-0.000946467	-0.000401189	0.000338432
